pet_mm_s01,cly_pc_sav,cly_pc_uav,ari_ix_sav,TOT_TWI,TOT_PRSNOW,TOT_POPDENS90,TOT_EWT,TOT_RECHG,TOT_PPT7100_ANN,TOT_AET,TOT_PET,TOT_SILTAVE,TOT_BASIN_AREA,TOT_BASIN_SLOPE,TOT_ELEV_MEAN,TOT_ELEV_MAX,TOT_Intensity,TOT_Wet,TOT_Dry
13.0,7.0,8.0,94.0,12.71,25.94,12.75,-22.85,273.3,889.64,620.61,600.21,20.1,1050.86,2.62,255.58,387.38,8.68,2.96,5.12
28.0,21.0,20.0,89.0,11.8,11.79,14.31,-24.63,172.5,1135.78,796.73,730.41,43.12,1604.71,13.51,238.25,1215.68,11.18,2.73,5.35
28.0,25.0,25.0,89.0,12.31,8.23,12.47,-13.31,91.63,1124.74,712.85,798.48,42.48,717.01,5.4,360.33,468.21,13.71,2.69,6.24
56.0,14.0,18.0,116.0,12.49,0.0,11.25,-9.54,217.24,1660.03,1133.74,1008.84,36.94,1152.21,3.37,63.33,120.65,17.08,2.9,5.94
63.0,26.0,27.0,44.0,11.22,0.0,1.2,-22.83,32.87,819.01,1036.5,955.8,44.51,1008.75,18.1,600.08,738.28,16.26,2.68,11.58
16.0,18.0,18.0,82.0,11.03,25.58,13.24,-40.56,166.32,998.83,515.17,590.67,55.0,558.32,12.73,486.41,743.98,8.99,2.8,4.25
22.0,15.0,16.0,268.0,10.73,12.97,0.94,-27.95,1018.66,2833.67,457.11,563.33,47.66,526.7,33.2,399.71,1085.27,12.4,5.81,7.13
22.0,16.0,13.0,120.0,10.25,17.97,0.0,-77.14,622.9,1519.43,677.06,600.19,48.25,588.51,41.61,943.77,1822.62,10.99,5.0,8.31
46.0,20.0,20.0,93.0,12.79,1.63,4.83,-5.74,85.24,1368.71,1169.57,948.43,41.18,995.75,3.51,69.54,127.83,16.64,2.73,6.62
62.0,28.0,28.0,48.0,11.4,0.0,3.36,-18.33,48.7,856.64,1014.35,949.91,44.82,859.79,16.0,555.61,727.41,15.7,2.76,9.95
36.0,25.0,25.0,108.0,12.11,5.75,12.53,-12.74,260.36,1498.36,901.14,802.11,51.73,1162.97,10.71,265.34,329.85,15.98,2.79,5.67
29.0,23.0,24.0,87.0,13.21,5.9,7.59,-6.13,63.44,1137.4,762.81,844.24,50.08,509.83,1.08,282.61,323.99,14.26,2.72,6.69
36.0,19.0,18.0,94.0,10.14,15.06,0.97,-29.52,267.08,1433.0,665.82,656.81,44.62,1929.82,31.9,1123.71,2307.16,16.01,3.94,13.25
55.0,20.0,18.0,97.0,12.55,0.37,11.01,-13.33,191.01,1416.22,1065.73,952.57,25.49,1257.45,5.39,127.89,205.55,16.89,2.78,6.36
33.0,25.0,25.0,84.0,12.04,8.93,4.45,-16.34,149.9,1131.88,837.41,797.49,40.44,1456.11,10.01,327.28,494.94,16.23,2.59,6.94
3.0,18.0,18.0,55.0,13.95,17.09,1.01,-7.24,5.0,492.74,479.01,592.93,44.82,1731.08,1.37,451.58,509.04,8.63,2.61,8.6
45.0,21.0,21.0,61.0,12.75,2.0,2.31,-8.84,13.6,890.96,665.67,981.12,41.09,1491.06,2.51,285.28,397.34,15.97,2.53,9.1
15.0,19.0,19.0,109.0,11.94,25.41,6.22,-51.22,240.08,1096.01,600.24,593.08,51.6,1779.93,22.17,523.09,746.07,8.24,3.05,4.02
20.0,19.0,19.0,117.0,12.19,22.51,9.15,-18.41,227.57,1265.76,640.3,609.82,53.72,518.5,13.83,601.81,944.75,8.87,3.14,4.03
52.0,18.0,20.0,22.0,10.77,2.8,0.15,-35.43,6.34,473.16,93.48,742.98,44.88,603.8,27.59,628.15,1364.27,10.35,3.19,19.09
64.0,28.0,28.0,42.0,11.49,0.0,0.81,-27.86,16.48,721.39,980.51,981.86,44.42,1939.46,15.43,585.97,736.43,16.08,2.64,12.38
55.0,20.0,20.0,106.0,12.41,0.11,11.57,-9.31,184.91,1542.65,1056.92,969.23,39.0,788.11,4.12,110.49,169.39,16.44,2.76,5.92
13.0,7.0,7.0,58.0,9.68,63.1,0.09,-106.39,504.31,1011.19,398.19,442.46,29.78,1156.79,47.27,2078.14,3251.33,9.26,3.66,8.94
28.0,19.0,19.0,91.0,10.76,16.01,2.18,-30.62,168.82,1063.93,763.71,667.69,44.54,1195.01,26.85,656.68,1334.33,11.02,2.79,5.19
24.0,22.0,22.0,96.0,12.83,13.52,15.8,-9.58,91.16,1097.06,698.87,733.09,52.3,1001.52,8.06,272.03,407.6,9.96,2.73,4.71
20.0,24.0,24.0,88.0,12.83,11.88,8.16,-7.75,20.89,989.33,617.81,768.97,50.8,539.26,3.12,217.31,262.71,11.52,2.68,5.92
13.0,16.0,13.0,65.0,10.07,58.13,0.03,-59.18,437.23,1112.93,418.17,431.88,58.21,618.87,43.11,1736.04,2784.05,8.89,3.83,7.99
15.0,19.0,19.0,109.0,11.97,26.09,8.9,-54.71,234.09,1103.18,577.75,587.44,51.73,704.92,24.87,531.52,746.07,8.1,3.08,4.01
63.0,18.0,21.0,22.0,11.1,0.63,1.02,-63.04,3.36,484.06,304.25,855.85,35.69,1180.41,14.11,1407.6,2859.22,10.01,2.81,13.65
18.0,24.0,26.0,86.0,13.17,13.96,15.13,-7.84,66.84,960.62,665.0,731.67,65.15,1695.27,2.27,204.64,246.28,11.57,2.65,6.05
35.0,19.0,20.0,89.0,12.68,6.76,11.54,-12.14,121.24,1155.54,952.14,798.75,34.34,1431.36,6.3,121.83,201.0,12.66,2.64,5.83
20.0,17.0,16.0,308.0,11.02,20.84,2.37,-21.73,762.17,2427.61,519.61,572.11,53.73,1745.65,25.07,358.59,1122.57,10.22,6.04,6.84
10.0,9.0,8.0,123.0,11.15,39.39,3.25,-36.68,326.65,1188.65,555.55,503.1,51.64,905.09,13.25,375.7,1290.64,9.96,2.8,4.52
8.0,16.0,17.0,43.0,12.94,16.08,0.84,-33.74,3.1,410.81,343.45,598.35,46.19,1505.14,2.73,824.45,1051.46,7.05,2.62,9.41
9.0,10.0,8.0,97.0,13.01,25.73,1.72,-11.01,201.13,786.21,584.99,543.62,38.39,1166.35,2.34,326.99,482.61,7.42,2.77,5.13
23.0,24.0,25.0,84.0,12.57,7.99,9.6,-15.03,42.49,966.16,635.03,801.73,51.26,1092.99,5.15,314.83,364.22,12.8,2.54,6.7
9.0,9.0,9.0,126.0,11.55,39.34,4.84,-21.62,336.26,1180.7,537.24,512.18,59.82,773.96,8.09,302.61,798.33,9.69,2.86,4.36
54.0,20.0,23.0,103.0,12.69,0.8,7.86,-8.36,138.0,1520.88,1133.41,953.71,39.05,1926.83,4.25,118.47,193.42,16.79,2.79,6.24
6.0,13.0,10.0,97.0,12.4,24.1,2.54,-21.36,213.77,860.39,609.12,549.49,39.08,1549.22,4.53,397.26,571.46,7.6,2.88,4.97
17.0,25.0,25.0,88.0,15.33,18.76,9.1,-2.41,57.16,927.72,556.17,678.53,50.54,602.49,0.73,273.58,307.81,8.64,2.78,4.88
29.0,11.0,12.0,94.0,9.63,59.99,1.02,-73.03,453.51,1212.5,246.03,499.02,26.08,835.76,33.61,2575.52,3976.65,15.12,3.42,14.17
25.0,20.0,19.0,88.0,11.99,12.44,18.21,-24.49,147.17,1082.74,777.85,748.37,40.97,859.42,9.13,185.66,671.98,11.03,2.72,5.4
17.0,24.0,22.0,91.0,12.85,12.72,8.66,-12.17,37.2,953.22,633.74,743.57,47.57,1031.32,4.63,231.78,304.85,11.43,2.63,6.03
83.0,20.0,16.0,80.0,15.08,0.0,1.52,-2.28,119.12,1291.85,959.08,1156.09,4.87,593.06,0.04,20.3,28.62,14.1,3.52,7.8
6.0,16.0,15.0,45.0,12.27,16.05,0.22,-39.2,3.01,403.37,345.38,609.32,45.02,529.26,5.11,755.85,942.11,6.65,2.7,8.46
29.0,20.0,20.0,85.0,10.65,11.27,4.27,-31.65,190.27,1089.23,763.3,668.23,43.67,851.79,24.06,634.76,1324.45,10.46,2.79,5.18
72.0,27.0,26.0,32.0,12.83,0.0,0.14,-12.39,1.94,594.28,860.79,1190.66,42.15,1233.8,1.03,155.7,286.74,15.35,2.67,18.08
14.0,17.0,17.0,101.0,11.15,27.48,18.67,-38.76,160.28,997.9,531.05,558.72,57.95,752.06,12.41,629.64,781.2,7.55,3.11,4.1
16.0,18.0,18.0,42.0,13.37,11.53,2.38,-54.48,14.47,478.66,262.35,651.67,41.39,786.53,2.8,1035.04,1191.01,8.49,2.59,8.58
16.0,14.0,12.0,385.0,9.85,29.37,0.04,-29.93,1700.67,4021.45,460.77,531.28,34.06,662.88,46.35,735.96,2412.25,15.7,5.4,6.07
24.0,22.0,21.0,46.0,12.69,7.99,4.46,-22.97,7.11,544.44,380.62,740.92,71.27,1531.35,2.67,857.91,1043.68,10.51,2.54,9.31
38.0,25.0,24.0,112.0,10.88,4.85,4.45,-37.43,237.9,1510.72,949.78,813.32,45.86,815.78,20.34,372.7,580.8,14.7,2.81,5.37
26.0,23.0,25.0,88.0,12.69,6.71,2.63,-5.9,27.77,1083.64,714.35,830.81,52.04,813.29,3.03,297.58,367.78,14.47,2.66,6.79
53.0,21.0,21.0,25.0,11.02,7.96,0.0,-61.53,11.03,441.06,220.6,745.77,34.27,776.98,22.07,1596.69,2249.51,8.36,2.71,13.31
29.0,22.0,22.0,50.0,13.71,6.09,1.9,-10.5,6.41,644.34,634.29,826.85,34.81,1833.96,1.07,677.12,790.48,12.18,2.48,9.44
45.0,20.0,20.0,35.0,10.59,29.52,4.9,-51.44,103.27,738.88,591.67,554.15,44.09,1626.21,18.03,2206.44,3478.71,9.39,3.45,11.12
14.0,24.0,25.0,88.0,12.98,17.32,16.22,-11.8,88.09,948.98,602.41,681.79,65.2,507.14,1.43,247.58,304.82,11.03,2.78,5.91
28.0,18.0,17.0,218.0,10.25,7.45,0.06,-39.24,996.01,3096.75,290.8,633.54,48.99,703.03,43.22,670.54,1552.29,15.7,4.73,9.31
35.0,22.0,21.0,105.0,10.8,9.12,21.02,-27.83,388.56,1502.31,769.01,732.92,43.28,694.57,30.65,630.94,2013.61,11.92,3.04,4.75
29.0,24.0,24.0,89.0,12.6,7.37,7.69,-11.37,99.97,1127.28,785.57,806.59,42.31,650.43,5.46,350.75,442.28,14.08,2.7,6.39
43.0,21.0,21.0,45.0,11.3,25.2,0.0,-44.73,45.48,663.37,550.31,574.18,31.86,626.56,13.74,2022.38,2597.66,11.82,3.08,12.82
12.0,10.0,8.0,253.0,9.46,57.22,0.85,-100.85,1348.9,2763.59,593.36,509.97,46.32,1859.16,52.33,1148.97,3213.7,12.21,5.11,6.65
31.0,23.0,21.0,102.0,10.93,13.75,14.67,-34.15,281.75,1246.45,726.95,640.34,41.03,784.24,26.94,900.1,1745.09,10.37,2.9,4.79
68.0,31.0,23.0,63.0,13.08,0.0,2.06,-10.52,5.72,854.04,921.94,1136.57,30.41,1808.47,1.34,69.37,165.02,14.87,2.89,10.48
7.0,17.0,18.0,59.0,12.79,15.95,4.76,-27.81,7.3,576.91,471.87,635.4,45.9,1051.0,2.39,421.01,633.97,9.06,2.67,7.68
11.0,18.0,12.0,58.0,10.06,65.56,0.0,-62.19,369.88,811.19,413.99,386.5,47.39,1163.7,36.73,2470.4,3452.7,7.76,3.63,7.17
16.0,24.0,25.0,92.0,13.61,17.0,6.64,-3.78,85.86,963.41,565.37,716.82,50.18,1159.53,0.62,217.59,277.73,10.11,2.7,5.31
45.0,22.0,22.0,42.0,12.88,2.0,3.38,-14.19,5.23,653.71,474.27,964.29,41.42,831.21,1.12,499.33,592.01,13.48,2.57,11.14
5.0,13.0,12.0,90.0,12.65,20.34,4.33,-17.6,154.69,787.23,584.42,555.92,27.71,1099.8,3.17,325.15,412.17,8.62,2.8,5.85
20.0,25.0,25.0,74.0,12.45,8.87,2.56,-15.87,26.52,838.98,592.0,794.25,48.66,717.31,5.14,396.52,468.84,12.4,2.55,7.29
8.0,17.0,17.0,43.0,12.94,14.92,0.19,-32.85,3.47,410.04,387.46,599.0,45.1,1434.32,2.56,847.84,1066.15,7.0,2.6,9.17
44.0,22.0,22.0,107.0,12.48,2.83,6.62,-15.98,198.16,1498.54,1070.61,882.33,41.06,581.46,11.09,146.83,236.91,16.04,2.79,5.92
55.0,22.0,23.0,107.0,13.08,0.0,4.83,-6.87,148.01,1534.8,1268.06,997.0,43.32,1298.41,2.28,75.94,142.07,16.22,2.92,6.08
28.0,16.0,15.0,102.0,9.43,28.82,0.11,-77.27,449.72,1574.35,567.01,612.14,36.11,1945.97,51.43,1297.77,2698.13,12.6,3.94,10.78
15.0,22.0,22.0,94.0,12.21,12.75,10.52,-15.49,30.82,917.44,619.33,710.93,53.16,857.72,7.03,301.68,366.77,10.61,2.7,6.09
28.0,22.0,23.0,87.0,12.97,7.61,4.06,-6.43,81.05,1130.37,790.36,813.05,46.28,1070.0,3.67,289.24,360.5,13.86,2.71,6.32
60.0,26.0,28.0,45.0,11.74,0.0,0.29,-12.7,10.96,781.33,816.29,976.01,40.49,561.74,6.47,558.73,690.03,14.46,2.6,10.21
17.0,18.0,18.0,100.0,11.25,23.53,16.23,-41.93,232.62,1171.67,582.01,615.14,54.13,704.15,14.74,402.01,786.82,10.38,2.71,4.39
29.0,15.0,14.0,116.0,10.2,28.63,1.39,-41.57,307.31,1469.74,761.58,635.3,39.56,1982.68,34.33,1122.18,2386.49,14.81,4.13,11.91
9.0,19.0,19.0,88.0,11.58,17.15,8.52,-33.13,152.47,881.78,610.38,627.35,52.03,690.11,16.0,355.48,441.94,10.11,2.7,5.77
62.0,20.0,27.0,67.0,12.65,0.0,7.66,-11.39,21.66,1027.57,864.58,1098.97,33.96,867.78,2.63,102.61,177.4,14.97,2.9,8.8
23.0,24.0,24.0,78.0,12.64,7.96,6.7,-12.46,32.52,926.0,601.22,798.95,48.57,771.28,4.29,339.37,427.9,13.18,2.5,7.1
8.0,12.0,12.0,108.0,13.21,32.37,2.62,-12.05,317.49,827.15,505.0,527.38,18.16,1960.66,1.37,243.36,361.79,6.86,3.27,4.82
33.0,16.0,11.0,30.0,10.71,29.0,0.83,-67.02,12.92,634.15,551.25,492.17,37.33,1222.78,23.28,2588.77,3432.11,8.47,2.91,9.82
6.0,13.0,15.0,91.0,12.95,20.32,2.89,-14.08,152.69,826.38,598.48,544.29,50.9,1480.44,1.78,450.91,593.28,8.75,2.7,5.33
20.0,19.0,19.0,100.0,11.56,18.0,15.73,-35.73,253.45,1093.01,666.65,693.54,49.32,536.99,15.88,306.24,687.35,11.99,2.72,5.15
11.0,11.0,11.0,70.0,9.48,60.24,0.01,-99.62,362.07,827.76,324.14,348.95,37.18,793.79,51.82,2899.24,3797.35,7.48,3.12,7.01
17.0,14.0,12.0,379.0,10.33,19.03,0.07,-21.86,1601.85,3633.58,460.82,556.91,44.24,1154.91,36.45,458.98,2226.84,14.76,5.91,5.86
36.0,24.0,23.0,89.0,11.8,4.77,10.3,-18.14,121.45,1256.6,816.77,864.99,40.69,808.0,10.16,346.22,586.59,15.72,2.7,6.62
11.0,19.0,19.0,54.0,13.37,13.11,1.74,-19.44,3.76,565.84,514.55,699.95,44.64,1353.59,1.15,469.88,616.66,10.31,2.59,8.65
28.0,24.0,24.0,106.0,12.28,10.49,26.5,-7.57,112.95,1257.12,757.55,770.34,51.78,823.54,11.15,311.75,470.87,11.85,2.75,5.08
82.0,12.0,12.0,84.0,14.24,0.0,2.86,-3.62,112.26,1313.52,919.12,1158.83,5.01,571.93,0.24,24.36,57.74,16.89,3.36,8.47
56.0,18.0,20.0,117.0,12.44,0.0,6.88,-8.81,222.61,1660.7,1056.74,1015.03,38.35,802.12,4.09,66.55,127.13,16.55,2.94,5.85
11.0,21.0,22.0,89.0,11.89,16.71,15.63,-27.15,131.88,866.02,569.16,655.69,64.69,710.53,9.43,298.52,379.47,9.45,2.69,5.36
11.0,7.0,7.0,77.0,10.5,72.22,0.01,-76.93,440.71,1118.66,412.28,412.71,24.01,564.95,28.16,2174.88,2787.85,11.38,3.9,8.23
11.0,7.0,7.0,109.0,10.41,46.8,0.0,-80.95,488.74,1225.95,589.42,510.5,57.41,866.46,41.21,1202.63,1890.39,8.63,4.27,6.69
14.0,17.0,17.0,123.0,10.88,28.71,17.88,-32.4,258.29,1120.09,553.62,554.81,57.59,864.81,17.36,591.85,1018.5,8.87,3.1,3.96
15.0,18.0,18.0,100.0,11.45,26.63,7.45,-54.09,180.81,973.54,558.66,561.66,57.18,1557.89,19.66,571.48,787.28,8.19,2.88,4.2
13.0,17.0,17.0,126.0,10.56,33.4,9.76,-33.11,262.08,1189.47,674.17,523.22,57.77,616.07,19.93,651.84,1232.96,11.36,2.82,4.44
23.0,23.0,24.0,76.0,11.79,7.78,2.85,-6.61,40.8,906.54,577.28,785.14,49.79,842.75,7.24,398.04,489.65,12.28,2.52,6.79
18.0,26.0,26.0,91.0,13.14,12.76,5.57,-7.6,31.83,964.67,675.9,746.61,63.95,904.13,3.09,200.66,241.08,11.63,2.61,6.02
17.0,16.0,11.0,239.0,9.92,43.7,5.74,-56.0,1643.32,2286.75,521.1,509.93,50.78,685.47,34.86,995.48,3412.73,12.97,5.69,7.69
21.0,25.0,25.0,73.0,12.41,8.15,3.86,-14.42,25.44,865.23,580.99,785.9,47.27,1074.83,3.8,399.17,467.75,12.61,2.51,7.22
46.0,18.0,18.0,39.0,10.57,9.81,0.53,-51.42,33.94,683.7,556.34,673.06,34.63,517.44,25.81,1689.28,2362.39,12.25,2.96,13.69
7.0,7.0,9.0,91.0,12.73,22.67,4.63,-20.97,204.08,816.73,580.54,540.19,35.61,1205.08,3.52,486.1,589.99,7.86,2.82,5.07
29.0,17.0,17.0,216.0,9.9,7.96,0.51,-38.12,937.82,2822.62,330.27,616.4,43.8,1590.23,44.03,766.96,1927.99,15.79,4.67,9.38
21.0,26.0,26.0,92.0,13.37,14.05,9.23,-5.5,62.15,1067.34,744.87,764.71,60.23,824.75,1.92,182.59,255.07,11.58,2.76,5.6
